"symbol","total","updated_at","dataset_id","admission_year","voted_no","voted_yes","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Ο","11","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","(Άγνωστο)","4","7","6a6e1d5482d6d14a5b84797d","2026-08-01T16:22:44.992000","2026-08-01T16:22:44.992000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2018","1","1","6a6e1d54ef0bdb02e8de83c7","2026-08-01T16:22:44.735000","2026-08-01T16:22:44.735000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","3","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2015","3","0","6a6e1d5457c6738051839246","2026-08-01T16:22:44.538000","2026-08-01T16:22:44.538000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2021","0","1","6a6e1d5426b1a4aeedfb2761","2026-08-01T16:22:44.337000","2026-08-01T16:22:44.337000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","101","0","1","6a6e1d54b1edcf9e6bf19184","2026-08-01T16:22:44.140000","2026-08-01T16:22:44.140000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2017","2","0","6a6e1d53bed3916239fdc244","2026-08-01T16:22:43.937000","2026-08-01T16:22:43.937000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","4","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2026","2","2","6a6e1d53921d42988b71b8db","2026-08-01T16:22:43.738000","2026-08-01T16:22:43.738000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","4","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2016","3","1","6a6e1d53796bfbba263af09c","2026-08-01T16:22:43.520000","2026-08-01T16:22:43.520000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","ΗΜΥ","0","1","6a6e1d538c1fa98f5f584377","2026-08-01T16:22:43.194000","2026-08-01T16:22:43.194000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δ","5","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2023","4","1","6a6e1d520cb868a5c08532d1","2026-08-01T16:22:42.947000","2026-08-01T16:22:42.947000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","136","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2024","82","54","6a6e1d520f680ad2330ae21a","2026-08-01T16:22:42.740000","2026-08-01T16:22:42.740000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","52","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2020","27","25","6a6e1d52412a31cf0ef5291d","2026-08-01T16:22:42.544000","2026-08-01T16:22:42.544000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","145","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2025","80","65","6a6e1d5202e831a69797f44c","2026-08-01T16:22:42.339000","2026-08-01T16:22:42.339000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δ","3","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2025","3","0","6a6e1d52ad07849bdc99d965","2026-08-01T16:22:42.140000","2026-08-01T16:22:42.140000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Ο","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2025","1","0","6a6e1d511878b7131094cbd7","2026-08-01T16:22:41.942000","2026-08-01T16:22:41.942000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","10","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2024","3","7","6a6e1d51c3c06290a9a1a38c","2026-08-01T16:22:41.716000","2026-08-01T16:22:41.716000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","24","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2019","13","11","6a6e1d51d8065427eed5165f","2026-08-01T16:22:41.507000","2026-08-01T16:22:41.507000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202301","1","1","6a6e1d511c94afa899ca540d","2026-08-01T16:22:41.311000","2026-08-01T16:22:41.311000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","8","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202509","7","1","6a6e1d513ac31088c88375dc","2026-08-01T16:22:41.124000","2026-08-01T16:22:41.124000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","38","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","(Άγνωστο)","18","20","6a6e1d50247494d7ca6a7546","2026-08-01T16:22:40.921000","2026-08-01T16:22:40.921000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","3","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202509","3","0","6a6e1d505ad0a214a85910fc","2026-08-01T16:22:40.611000","2026-08-01T16:22:40.611000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","118","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2022","63","55","6a6e1d500cce7c728c6f1af2","2026-08-01T16:22:40.408000","2026-08-01T16:22:40.408000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2018","2","0","6a6e1d5054f97578f0423c09","2026-08-01T16:22:40.183000","2026-08-01T16:22:40.183000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","7","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2018","6","1","6a6e1d4fe9f35a4fcc9265f1","2026-08-01T16:22:39.983000","2026-08-01T16:22:39.983000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","4","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2017","4","0","6a6e1d4f3be4635ea85b4636","2026-08-01T16:22:39.778000","2026-08-01T16:22:39.778000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","3","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2022","0","3","6a6e1d4f44513c82df0fef70","2026-08-01T16:22:39.566000","2026-08-01T16:22:39.566000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","6","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2016","1","5","6a6e1d4fd2f8120d3e9130ff","2026-08-01T16:22:39.343000","2026-08-01T16:22:39.343000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","15","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2023","9","6","6a6e1d4ff0e539975c5793f6","2026-08-01T16:22:39.096000","2026-08-01T16:22:39.096000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Ε","12","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","(Άγνωστο)","11","1","6a6e1d4e0248fc042d8d5e32","2026-08-01T16:22:38.884000","2026-08-01T16:22:38.884000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","201909","2","0","6a6e1d4e818daa59a536175b","2026-08-01T16:22:38.674000","2026-08-01T16:22:38.674000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202009","0","2","6a6e1d4ea5441720cfa22ec4","2026-08-01T16:22:38.479000","2026-08-01T16:22:38.479000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","4","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2018","4","0","6a6e1d4ea479200e452d01c4","2026-08-01T16:22:38.248000","2026-08-01T16:22:38.248000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2016","2","0","6a6e1d4ee6f4a0a536d9720c","2026-08-01T16:22:38.006000","2026-08-01T16:22:38.006000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","105","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2021","59","46","6a6e1d4ddc9c31ea812ea924","2026-08-01T16:22:37.739000","2026-08-01T16:22:37.739000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","6","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202409","6","0","6a6e1d4d89c58cb6136c8629","2026-08-01T16:22:37.527000","2026-08-01T16:22:37.527000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","142","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2023","72","70","6a6e1d4d8b5c9ea9d2927a92","2026-08-01T16:22:37.329000","2026-08-01T16:22:37.329000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","6","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202209","6","0","6a6e1d4d3586a03b35817568","2026-08-01T16:22:37.114000","2026-08-01T16:22:37.114000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","11","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2019","1","10","6a6e1d4c8b5c9ea9d2927a91","2026-08-01T16:22:36.916000","2026-08-01T16:22:36.916000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","3","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2019","2","1","6a6e1d4c5371c1d4997adede","2026-08-01T16:22:36.721000","2026-08-01T16:22:36.721000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","8","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2025","8","0","6a6e1d4cc37911c06ae05cac","2026-08-01T16:22:36.518000","2026-08-01T16:22:36.518000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","13","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2021","13","0","6a6e1d4c0b0d02332839aba4","2026-08-01T16:22:36.304000","2026-08-01T16:22:36.304000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","18","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2020","7","11","6a6e1d4c9c38c889b34b5bee","2026-08-01T16:22:36.096000","2026-08-01T16:22:36.096000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","47","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2024","10","37","6a6e1d4bcf269880c93f7c02","2026-08-01T16:22:35.886000","2026-08-01T16:22:35.886000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","3","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202009","1","2","6a6e1d4b82029947784ace07","2026-08-01T16:22:35.685000","2026-08-01T16:22:35.685000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","6","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2020","6","0","6a6e1d4bdb506cc1b208a9ac","2026-08-01T16:22:35.409000","2026-08-01T16:22:35.409000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","25","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2022","14","11","6a6e1d4bbb3559194166771f","2026-08-01T16:22:35.165000","2026-08-01T16:22:35.165000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","201909","0","2","6a6e1d4a4cf597e2a05df3a1","2026-08-01T16:22:34.964000","2026-08-01T16:22:34.964000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","4","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202109","3","1","6a6e1d4a32229e43c7284af3","2026-08-01T16:22:34.740000","2026-08-01T16:22:34.740000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","22","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202209","4","18","6a6e1d4a7bcf5c2b82563796","2026-08-01T16:22:34.490000","2026-08-01T16:22:34.490000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","17","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2022","16","1","6a6e1d4a8014a9944a9f9488","2026-08-01T16:22:34.273000","2026-08-01T16:22:34.273000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","15","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2021","10","5","6a6e1d4a5e1ed4278390334b","2026-08-01T16:22:34.062000","2026-08-01T16:22:34.062000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","46","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2024","30","16","6a6e1d4943f3a1894c0d422a","2026-08-01T16:22:33.826000","2026-08-01T16:22:33.826000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","10","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202109","7","3","6a6e1d497be6fefee0ec83d6","2026-08-01T16:22:33.603000","2026-08-01T16:22:33.603000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","49","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202109","46","3","6a6e1d490a0857a161d301bb","2026-08-01T16:22:33.395000","2026-08-01T16:22:33.395000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","41","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202009","39","2","6a6e1d49e6d7875b13e99a67","2026-08-01T16:22:33.183000","2026-08-01T16:22:33.183000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","35","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202309","27","8","6a6e1d48f4a358a2e7e597ae","2026-08-01T16:22:32.964000","2026-08-01T16:22:32.964000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","39","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2021","9","30","6a6e1d4810f2af325376ad02","2026-08-01T16:22:32.628000","2026-08-01T16:22:32.628000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δ","5","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2024","5","0","6a6e1d485bc91afcef782569","2026-08-01T16:22:32.407000","2026-08-01T16:22:32.407000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","20","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202409","20","0","6a6e1d48c3415966711fbb97","2026-08-01T16:22:32.205000","2026-08-01T16:22:32.205000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","26","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202509","23","3","6a6e1d48dfa05194f0d222b7","2026-08-01T16:22:32.005000","2026-08-01T16:22:32.005000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"(Κενό)","26","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202209","26","0","6a6e1d47c48fffeb497d0018","2026-08-01T16:22:31.796000","2026-08-01T16:22:31.796000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","5","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","202009","4","1","6a6e1d4792df50c5dcf722a3","2026-08-01T16:22:31.591000","2026-08-01T16:22:31.591000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
