"actor_user_id","old_status","action_type","new_status","target_user_id","target_role","actor_role","timestamp","id","created_date","updated_date","created_by_id","created_by","is_sample"
"69a73f8d41043f5ad2e24001","false","activate","true","69a0cf24bc2a16e605511378","ORGANOTIKI","ORGANOTIKI","2026-03-03T20:08:29.471Z","69a73fbd550197b49e0cd3c5","2026-03-03T20:08:29.596000","2026-03-03T20:08:29.596000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"69a73f8d41043f5ad2e24001","true","deactivate","false","69a0cf24bc2a16e605511378","ORGANOTIKI","ORGANOTIKI","2026-03-03T20:08:25.258Z","69a73fb966e1de222b89bee9","2026-03-03T20:08:25.387000","2026-03-03T20:08:25.387000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","69a73f8d41043f5ad2e24001","ORGANOTIKI","ADMIN","2026-03-03T20:07:49.296Z","69a73f951e2b8b2fd3e584db","2026-03-03T20:07:49.475000","2026-03-03T20:07:49.475000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","69a0cf24bc2a16e605511378","ORGANOTIKI","ADMIN","2026-02-26T22:56:02.015Z","69a0cf828d90007b3efb7c97","2026-02-26T22:56:02.163000","2026-02-26T22:56:02.163000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","699641041bbca712487e771a","ORGANOTIKI","ADMIN","2026-02-18T22:45:27.905Z","69964108688c768fb0d79acf","2026-02-18T22:45:28.011000","2026-02-18T22:45:28.011000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","699207eb8a1b36061704ca95","ORGANOTIKI","ADMIN","2026-02-15T19:32:08.651Z","69921f38830dd2749141bcca","2026-02-15T19:32:08.776000","2026-02-15T19:32:08.776000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","6990f646425a2ba3f9ab756f","ORGANOTIKI","ADMIN","2026-02-14T22:25:15.619Z","6990f64b2fd2b113464894ff","2026-02-14T22:25:15.775000","2026-02-14T22:25:15.775000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","698e5bac75fc919e45796e28","ORGANOTIKI","ADMIN","2026-02-12T23:01:05.543Z","698e5bb19ba069575bf10739","2026-02-12T23:01:05.713000","2026-02-12T23:01:05.713000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","698e46b3bbea55b3b3de58ee","ORGANOTIKI","ADMIN","2026-02-12T22:53:22.878Z","698e59e3b0c2ddcb207b2177","2026-02-12T22:53:23.060000","2026-02-12T22:53:23.060000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","deactivate","false","698e46b3bbea55b3b3de58ee","ORGANOTIKI","ADMIN","2026-02-12T22:46:44.262Z","698e585487129c10d297d7e9","2026-02-12T22:46:44.381000","2026-02-12T22:46:44.381000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","true","deactivate","false","698e46b3bbea55b3b3de58ee","ORGANOTIKI","ADMIN","2026-02-12T22:46:41.584Z","698e58513ac577a6e8ad6abb","2026-02-12T22:46:41.731000","2026-02-12T22:46:41.731000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","698e46b3bbea55b3b3de58ee","ORGANOTIKI","ADMIN","2026-02-12T22:36:11.942Z","698e55dc2c33c406b18f6a5e","2026-02-12T22:36:12.160000","2026-02-12T22:36:12.160000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
